Teams Box
"G2
0
11:35
14th of December 2024
Perfect World Shanghai Major 2024
  Match over
FaZe
2"

Table Table 1
G2,K-D,+/-,ADR,KAST,"Rating
2.1"
Nemanja 'huNter-' Kovač,42-37,+5,92.1,67.3%,1.14
Janusz 'Snax' Pogorzelski,34-34,0,78.6,77.6%,1.06
Ilya 'm0NESY' Osipov,27-33,-6,70.9,65.3%,0.89
Nikola 'NiKo' Kovač,31-38,-7,55.6,67.3%,0.87
Mario 'malbsMd' Samayoa,24-39,-15,67.1,69.4%,0.83

Table Table 2
FaZe,K-D,+/-,ADR,KAST,"Rating
2.1"
Robin 'ropz' Kool,50-35,+15,104.6,77.6%,1.45
Helvijs 'broky' Saukants,42-28,+14,77.3,81.6%,1.23
Håvard 'rain' Nygaard,36-31,+5,87.2,83.7%,1.22
David 'frozen' Čerňanský,31-32,-1,72.7,79.6%,1.12
Finn 'karrigan' Andersen,20-35,-15,53.1,71.4%,0.79

Table Table 3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

Table Table 4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

Table Table 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

Table Table 6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

