Match,Perfect World Shanghai Major 2024
Winning Team,Spirit
Losing Team,MOUZ
Score,2 - 1

Team,Player Name,K-D,+/-,ADR,KAST,Rating
MOUZ,Ludvig 'Brollan' Brolin,37-42,-5,76.6,66.7%,1.07
MOUZ,Kamil 'siuhy' Szkaradek,34-43,-9,75.8,66.7%,0.98
MOUZ,Jimi 'Jimpphat' Salo,38-38,0,73.8,82.5%,0.97
MOUZ,Ádám 'torzsi' Torzsás,40-38,+2,60.3,71.9%,0.92
MOUZ,Dorian 'xertioN' Berman,27-42,-15,65.6,63.2%,0.85
Spirit,Dmitry 'sh1ro' Sokolov,54-31,+23,82.2,86.0%,1.40
Spirit,Boris 'magixx' Vorobiev,41-30,+11,83.3,84.2%,1.24
Spirit,Danil 'donk' Kryshkovets,42-43,-1,78.5,64.9%,1.05
Spirit,Leonid 'chopper' Vishnyakov,34-36,-2,67.7,73.7%,0.98
Spirit,Myroslav 'zont1x' Plakhotia,30-37,-7,71.0,73.7%,0.95
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Perfect World Shanghai Major 2024,FaZe,G2,2 - 0

G2,Nemanja 'huNter-' Kovač,42-37,+5,92.1,67.3%,1.14
G2,Janusz 'Snax' Pogorzelski,34-34,0,78.6,77.6%,1.06
G2,Ilya 'm0NESY' Osipov,27-33,-6,70.9,65.3%,0.89
G2,Nikola 'NiKo' Kovač,31-38,-7,55.6,67.3%,0.87
G2,Mario 'malbsMd' Samayoa,24-39,-15,67.1,69.4%,0.83
FaZe,Robin 'ropz' Kool,50-35,+15,104.6,77.6%,1.45
FaZe,Helvijs 'broky' Saukants,42-28,+14,77.3,81.6%,1.23
FaZe,Håvard 'rain' Nygaard,36-31,+5,87.2,83.7%,1.22
FaZe,David 'frozen' Čerňanský,31-32,-1,72.7,79.6%,1.12
FaZe,Finn 'karrigan' Andersen,20-35,-15,53.1,71.4%,0.79
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
